zinc_ids,polymer,reactants
ZINC000100568492,*=CC1CC(C=*)C2C(=O)N(CCC(=O)N3c4ccccc4Sc4ccccc43)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1CCC(=O)N1c2ccccc2Sc2ccccc21
ZINC000100893567,*=CC1CC(CNc2ccc(C(=O)NCCCc3c(C)noc3C)cn2)C(C=*)C12CC2,Cc1noc(C)c1CCCNC(=O)c1ccc(NCC2CC3C=CC2C32CC2)nc1
ZINC000100914688,*=CC1CC(C=*)C2C(=O)N(c3ccc(C(=O)Oc4cccc5ccccc45)cc3)C(=O)C12,O=C(Oc1cccc2ccccc12)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1
ZINC000100915067,*=CC1CC(C=*)C2C(=O)N(c3cccc(C(=O)Oc4ccc5ccccc5c4)c3)C(=O)C12,O=C(Oc1ccc2ccccc2c1)c1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000101284108,*=CC1CC(C=*)C(C(=O)Nc2ccc(C)c(NC(=O)c3ccc(Cl)cc3)c2)C1C(=O)O,Cc1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)cc1NC(=O)c1ccc(Cl)cc1
ZINC000101302230,*=CC1CC(C=*)C(C(=O)Nc2ccc(NC(=O)C3CCCCC3)c(Cl)c2)C1C(=O)O,O=C(Nc1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)cc1Cl)C1CCCCC1
ZINC000101319489,*=CC1CC(C=*)C2C(=O)N(c3cccc(C(=O)Nc4cc(Cl)ccc4C)c3)C(=O)C12,Cc1ccc(Cl)cc1NC(=O)c1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000101576154,*=CC1CC(C=*)C(C(=O)Nc2c(C)nn(Cc3cccc4ccccc34)c2C)C1C(=O)O,Cc1nn(Cc2cccc3ccccc23)c(C)c1NC(=O)C1C2C=CC(C2)C1C(=O)O
ZINC000101815634,*=CC1CC(CNC(=O)c2coc(COc3cccc4cccnc34)n2)C(C=*)C12CC2,O=C(NCC1CC2C=CC1C21CC1)c1coc(COc2cccc3cccnc23)n1
ZINC000101922910,*=CC1CC(CNC(=O)c2coc(COc3ccc4ncccc4c3)n2)C(C=*)C12CC2,O=C(NCC1CC2C=CC1C21CC1)c1coc(COc2ccc3ncccc3c2)n1
ZINC000102023208,*=CC1CC(C=*)C2C(=O)N(c3c(C)nn(Cc4c(Cl)cccc4Cl)c3C)C(=O)C12,Cc1nn(Cc2c(Cl)cccc2Cl)c(C)c1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000102024046,*=CC1CC(C=*)C2C(=O)N(c3c(C)nn(Cc4ccc(Cl)c(Cl)c4)c3C)C(=O)C12,Cc1nn(Cc2ccc(Cl)c(Cl)c2)c(C)c1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000102024054,*=CC1CC(C=*)C2C(=O)N(c3c(C)nn(Cc4ccc(Cl)cc4Cl)c3C)C(=O)C12,Cc1nn(Cc2ccc(Cl)cc2Cl)c(C)c1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000102073214,*=CC1CC(CNC(=O)c2cc(COc3cccc4cccnc34)on2)C(C=*)C12CC2,O=C(NCC1CC2C=CC1C21CC1)c1cc(COc2cccc3cccnc23)on1
ZINC000102082895,*=CC1CC(C=*)C2C(=O)N(C3CCC(C(=O)Oc4ccc(C(C)(C)C)cc4)CC3)C(=O)C12,CC(C)(C)c1ccc(OC(=O)C2CCC(N3C(=O)C4C5C=CC(C5)C4C3=O)CC2)cc1
ZINC000102341905,*=CC1CC(C=*)C(C(=O)Nc2sccc2C(=O)Nc2ccc(Cl)cc2)C1C(=O)O,O=C(Nc1ccc(Cl)cc1)c1ccsc1NC(=O)C1C2C=CC(C2)C1C(=O)O
ZINC000102531922,*=CC1CC(C=*)C2C(=O)N(c3ccccc3C(=O)Oc3ccc4ccccc4c3)C(=O)C12,O=C(Oc1ccc2ccccc2c1)c1ccccc1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000102531934,*=CC1CC(C=*)C2C(=O)N(c3cccc(C(=O)Oc4cccc5ccccc45)c3)C(=O)C12,O=C(Oc1cccc2ccccc12)c1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000102532010,*=CC1CC(C=*)C2C(=O)N(c3ccc(C(=O)Oc4ccc5ccccc5c4)cc3)C(=O)C12,O=C(Oc1ccc2ccccc2c1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1
ZINC000105743221,*=CC1CC(C=*)C(C(=O)Nc2ccc(Cl)c(NC(=O)c3cccs3)c2)C1C(=O)O,O=C(Nc1cc(NC(=O)C2C3C=CC(C3)C2C(=O)O)ccc1Cl)c1cccs1
ZINC000017747581,*=CC1CC(C=*)C2C(=O)N(c3ccc(C(=O)Nc4sc5c(c4C#N)CCCC5)cc3)C(=O)C12,N#Cc1c(NC(=O)c2ccc(N3C(=O)C4C5C=CC(C5)C4C3=O)cc2)sc2c1CCCC2
ZINC000058917264,*=CCC1C(C=*)c2cc(C(C)=NNC(=O)CN3CCCCC3)ccc2NC1c1ccccc1,CC(=NNC(=O)CN1CCCCC1)c1ccc2c(c1)C1C=CCC1C(c1ccccc1)N2
ZINC000058917266,*=CCC1C(C=*)c2cc(C(C)=NNC(=O)CN3CCCCC3)ccc2NC1c1ccc(F)cc1,CC(=NNC(=O)CN1CCCCC1)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC000058917403,*=CCC1C(C=*)c2cc(C(C)=NNC(=O)CC3(C)OCCO3)ccc2NC1c1ccccc1,CC(=NNC(=O)CC1(C)OCCO1)c1ccc2c(c1)C1C=CCC1C(c1ccccc1)N2
ZINC000058917406,*=CCC1C(C=*)c2cc(C(C)=NNC(=O)CC3(C)OCCO3)ccc2NC1c1ccc(F)cc1,CC(=NNC(=O)CC1(C)OCCO1)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC000015721680,*=CCN(C(=O)C(CCCCN)NC(=O)C(N)C(C)O)C(C=*)C(=O)NC(CCCN=C(N)N)C(=O)O,CC(O)C(N)C(=O)NC(CCCCN)C(=O)N1CC=CC1C(=O)NC(CCCN=C(N)N)C(=O)O
ZINC000012502783,*=CC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(C=*)n1cc(C)c(=O)[nH]c1=O,Cc1cn(C2C=CC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
ZINC000020591819,*=CC(CS(=O)(=O)C=*)NC=C1C(=O)NC(=S)N(CCc2ccc(OC)c(OC)c2)C1=O,COc1ccc(CCN2C(=O)C(=CNC3C=CS(=O)(=O)C3)C(=O)NC2=S)cc1OC
ZINC000102717084,*=CC(CS(=O)(=O)C=*)NC=C1C(=O)N=C(S)N(CCc2ccc(OC)c(OC)c2)C1=O,COc1ccc(CCN2C(=O)C(=CNC3C=CS(=O)(=O)C3)C(=O)N=C2S)cc1OC
ZINC000101021146,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(Cl)ccc3OCc3cccc(Cl)c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cc(Cl)ccc1OCc1cccc(Cl)c1
ZINC000000653895,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3cccc(OC)c3)ccc2NC1c1cccc(C)c1,COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2cccc(C)c2)N3)c1
ZINC000000653949,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccc(C)cc3C)ccc2NC1c1ccc(C)cc1,Cc1ccc(C2Nc3ccc(S(=O)(=O)Nc4ccc(C)cc4C)cc3C3C=CCC32)cc1
ZINC000000869706,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccc(OC)cc3)ccc2NC1c1ccccc1,COc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2)N3)cc1
ZINC000000871799,*=CCC1C(C=*)c2cc(I)ccc2NC1c1cccc(OC)c1OC,COc1cccc(C2Nc3ccc(I)cc3C3C=CCC32)c1OC
ZINC000001019240,*=CCC1C(C=*)c2cc(C(=O)N3CCCCC3)ccc2NC1c1ccc(Cl)cc1Cl,O=C(c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)cc1Cl)N2)N1CCCCC1
ZINC000001096147,*=CCC1C(C=*)c2c(Cl)c(Cl)cc(Cl)c2NC1c1cc(OC)c(OC)c(OC)c1,COc1cc(C2Nc3c(Cl)cc(Cl)c(Cl)c3C3C=CCC32)cc(OC)c1OC
ZINC000001100969,*=CCC1C(C=*)c2ccc3ccccc3c2NC1c1ccc(OCC(=O)N2CCCCC2)cc1,O=C(COc1ccc(C2Nc3c(ccc4ccccc34)C3C=CCC32)cc1)N1CCCCC1
ZINC000001128075,*=CCC1C(C=*)c2cc(C(=O)Oc3ccccc3C(=O)OC)ccc2NC1c1ccc(F)cc1,COC(=O)c1ccccc1OC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC000001157146,*=CCC1C(C=*)c2cc(C(=O)Oc3ccccc3C(=O)OC)ccc2NC1c1ccccc1,COC(=O)c1ccccc1OC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1)N2
ZINC000001421031,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccccc3F)ccc2NC1c1ccc(F)cc1,O=S(=O)(Nc1ccccc1F)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC000001796016,*=CCC1C(C=*)c2cc(C(=O)N3CCCCCC3)ccc2NC1c1ccc(Cl)cc1Cl,O=C(c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)cc1Cl)N2)N1CCCCCC1
ZINC000001857486,*=CCC1C(C=*)c2cc(C(=O)N3CCCCC3C)ccc2NC1c1ccc(Cl)cc1Cl,CC1CCCCN1C(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)cc1Cl)N2
ZINC000002063439,*=CCC1C(C=*)c2cccc(I)c2NC1c1ccc(Cl)cc1Cl,Clc1ccc(C2Nc3c(I)cccc3C3C=CCC32)c(Cl)c1
ZINC000002075832,*=CCC1C(C=*)c2cc(C(=O)OCC)ccc2NC1c1ccccc1OCc1ccccc1,CCOC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1OCc1ccccc1)N2
ZINC000002488550,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccc(OC)cc3)ccc2NC1c1ccc(C)cc1,COc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C)cc2)N3)cc1
ZINC000002818008,*=CCC1C(C=*)c2cc(Cl)cc(C(=O)c3ccccc3)c2NC1c1ccc(OC(C)=O)cc1,CC(=O)Oc1ccc(C2Nc3c(C(=O)c4ccccc4)cc(Cl)cc3C3C=CCC32)cc1
ZINC000002873695,*=CCC1C(C=*)c2cc(Br)cc(C(=O)O)c2NC1c1ccccc1C(F)(F)F,O=C(O)c1cc(Br)cc2c1NC(c1ccccc1C(F)(F)F)C1CC=CC21
ZINC000003000128,*=CCC1C(C=*)c2cc(C(=O)N3CCCc4ccccc43)ccc2NC1c1ccc(Cl)cc1,O=C(c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)cc1)N2)N1CCCc2ccccc21
ZINC000003636270,*=CCC1C(C=*)c2cc(Br)cc(C(=O)O)c2NC1c1cccc(C(F)(F)F)c1,O=C(O)c1cc(Br)cc2c1NC(c1cccc(C(F)(F)F)c1)C1CC=CC21
ZINC000003671141,*=CCC1C(C=*)c2cc(Cl)cc(C(=O)c3ccccc3)c2NC1c1cccc2ccccc12,O=C(c1ccccc1)c1cc(Cl)cc2c1NC(c1cccc3ccccc13)C1CC=CC21
ZINC000004048158,*=CCC1C(C=*)c2cc(I)ccc2NC1c1ccc(Cl)cc1Cl,Clc1ccc(C2Nc3ccc(I)cc3C3C=CCC32)c(Cl)c1
ZINC000004062905,*=CCC1C(C=*)c2cc(C(=O)Nc3ccc(OC)cc3)ccc2NC1c1ccc(Cl)cc1,COc1ccc(NC(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(Cl)cc2)N3)cc1
ZINC000004149984,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1c1cccc(OC)c1,COc1cccc(C2Nc3ccc(S(=O)(=O)Nc4ccccc4)cc3C3C=CCC32)c1
ZINC000006194050,*=CCC1C(C=*)c2cc(I)cc(C)c2NC1c1cccc2ccccc12,Cc1cc(I)cc2c1NC(c1cccc3ccccc13)C1CC=CC21
ZINC000008396785,*=CCC1C(C=*)c2c(ccc3ccccc23)NC1c1cccc(NC(=O)c2ccc(C)cc2)c1,Cc1ccc(C(=O)Nc2cccc(C3Nc4ccc5ccccc5c4C4C=CCC43)c2)cc1
ZINC000008454105,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccc(C)cc3C)ccc2NC1c1ccccc1F,Cc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)c(C)c1
ZINC000008589991,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccc(C)c(C)c3)ccc2NC1c1ccc(F)cc1,Cc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(F)cc2)N3)cc1C
ZINC000009761230,*=CCC1C(C=*)c2cc(C(=O)O)cc3c2N(CCC3c2ccccc2)C1c1ccc(Cl)cc1,O=C(O)c1cc2c3c(c1)C1C=CCC1C(c1ccc(Cl)cc1)N3CCC2c1ccccc1
ZINC000009763497,*=CCC1C(C=*)c2cc(Cl)cc(C)c2NC1c1cc(Br)c(OC)c(OC)c1,COc1cc(C2Nc3c(C)cc(Cl)cc3C3C=CCC32)cc(Br)c1OC
ZINC000009763657,*=CCC1C(C=*)c2ccc(C(=O)OC)c(C)c2NC1c1cc(Br)ccc1OC,COC(=O)c1ccc2c(c1C)NC(c1cc(Br)ccc1OC)C1CC=CC21
ZINC000009804739,*=CCC1C(C=*)c2cc(Br)ccc2NC1c1cc(Br)ccc1OC,COc1ccc(Br)cc1C1Nc2ccc(Br)cc2C2C=CCC21
ZINC000009804741,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3cc(C)ccc3C)ccc2NC1c1cccc(C)c1,Cc1cccc(C2Nc3ccc(S(=O)(=O)Nc4cc(C)ccc4C)cc3C3C=CCC32)c1
ZINC000009805182,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3c(C)cccc3C)ccc2NC1c1ccccc1F,Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1F)N2
ZINC000010007337,*=CCC1C(C=*)c2cccc(C(=O)N3CCOCC3)c2NC1c1ccc(Cl)cc1Cl,O=C(c1cccc2c1NC(c1ccc(Cl)cc1Cl)C1CC=CC21)N1CCOCC1
ZINC000012428636,*=CCC1C(C=*)c2cc(Br)cc(C(=O)O)c2NC1c1cccc(Br)c1,O=C(O)c1cc(Br)cc2c1NC(c1cccc(Br)c1)C1CC=CC21
ZINC000013634613,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1c1ccc(OC)cc1,COc1ccc(C2Nc3ccc(S(=O)(=O)Nc4ccccc4)cc3C3C=CCC32)cc1
ZINC000014186268,*=CCC1C(C=*)c2c(C)ccc(OC)c2NC1c1ccc(OCc2ccc(Cl)cc2)cc1,COc1ccc(C)c2c1NC(c1ccc(OCc3ccc(Cl)cc3)cc1)C1CC=CC21
ZINC000014186366,*=CCC1C(C=*)c2cc(C(C)=O)ccc2NC1c1ccc(OCc2cccc3ccccc23)cc1,CC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(OCc3cccc4ccccc34)cc1)N2
ZINC000016195131,*=CCC1C(C=*)c2ccc3ccccc3c2NC1c1cc(Br)c(OC)c(OC)c1,COc1cc(C2Nc3c(ccc4ccccc34)C3C=CCC32)cc(Br)c1OC
ZINC000016429238,*=CCC1C(C=*)c2cc(Br)cc(C(=O)O)c2NC1c1ccc(Br)cc1,O=C(O)c1cc(Br)cc2c1NC(c1ccc(Br)cc1)C1CC=CC21
ZINC000020032277,*=CSC1=NC(=O)C(=Cc2ccc(OCCSc3ccccc3)c(Cl)c2)C(=N)N1C=*,N=C1C(=Cc2ccc(OCCSc3ccccc3)c(Cl)c2)C(=O)N=C2SC=CN12
ZINC000027572703,*=CSC1=NC(=O)C(=Cc2c(C)n(Cc3ccc(F)cc3)c3ccc(C)cc23)C(=N)N1C=*,Cc1ccc2c(c1)c(C=C1C(=N)N3C=CSC3=NC1=O)c(C)n2Cc1ccc(F)cc1
ZINC000032189200,*=CCC1C(C=*)c2c(C(=O)O)ccc(Cl)c2NC1c1ccc(OCc2ccccc2)cc1,O=C(O)c1ccc(Cl)c2c1C1C=CCC1C(c1ccc(OCc3ccccc3)cc1)N2
ZINC000043773485,*=CCC1C(C=*)c2cc(S(=O)(=O)Nc3cccc(C)c3)ccc2NC1c1ccccc1F,Cc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)c1
ZINC000408656687,*=CC1CC(C=*)C2C(=O)N(C(C)C(=O)OCC(=O)NNC(=O)c3ccc(Br)cc3)C(=O)C12,CC(C(=O)OCC(=O)NNC(=O)c1ccc(Br)cc1)N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000408659061,*=CC1CC(C=*)C2C(=O)N(CC(=O)OCC(=O)NNC(=O)c3ccc(Br)cc3)C(=O)C12,O=C(COC(=O)CN1C(=O)C2C3C=CC(C3)C2C1=O)NNC(=O)c1ccc(Br)cc1
ZINC000009090654,*=CC1CC(C=*)C2C(=O)N(CCN3CCN(S(=O)(=O)c4ccc(C=CC(=O)O)cc4)CC3)C(=O)C12,O=C(O)C=Cc1ccc(S(=O)(=O)N2CCN(CCN3C(=O)C4C5C=CC(C5)C4C3=O)CC2)cc1
ZINC000013154261,*=CC1CC(C=*)C2C(=O)N(CCN3CCN(S(=O)(=O)c4ccc(NC(=O)OC)cc4)CC3)C(=O)C12,COC(=O)Nc1ccc(S(=O)(=O)N2CCN(CCN3C(=O)C4C5C=CC(C5)C4C3=O)CC2)cc1
ZINC000100785993,*=CC1OC2(C=*)CN(CCc3c[nH]c4ccccc34)C(=O)C2C1C(=O)NCCN1CCOCC1,O=C(NCCN1CCOCC1)C1C2C=CC3(CN(CCc4c[nH]c5ccccc45)C(=O)C13)O2
ZINC000101342716,*=CC1OC2(C=*)CN(c3ccc(NC(C)=O)cc3)C(=O)C2C1C(=O)NCCCN1CCOCC1,CC(=O)Nc1ccc(N2CC34C=CC(O3)C(C(=O)NCCCN3CCOCC3)C4C2=O)cc1
ZINC000001028498,*=CC(=NCCN(C=*)S(=O)(=O)c1ccc(CNC(=O)c2ccccc2)s1)C(F)(F)F,O=C(NCc1ccc(S(=O)(=O)N2C=CC(C(F)(F)F)=NCC2)s1)c1ccccc1
ZINC000001154120,*=CC(CS(=O)(=O)C=*)N(C(=O)COc1ccc(Br)cc1)c1ccc(C)cc1,Cc1ccc(N(C(=O)COc2ccc(Br)cc2)C2C=CS(=O)(=O)C2)cc1
ZINC000001242426,*=CC(CS(=O)(=O)C=*)N(c1ccc(Br)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)N(c2ccc(Br)cc2)C2C=CS(=O)(=O)C2)cc1
ZINC000004178340,*=CC1CC(C=*)C2C(=O)N(c3ccccc3C(=O)OCC(=O)c3ccc(OC)cc3)C(=O)C12,COc1ccc(C(=O)COC(=O)c2ccccc2N2C(=O)C3C4C=CC(C4)C3C2=O)cc1
ZINC000004178345,*=CC1CC(C=*)C2C(=O)N(c3cccc(C(=O)OCC(=O)c4ccc(OC)cc4)c3)C(=O)C12,COc1ccc(C(=O)COC(=O)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)cc1
ZINC000008432865,*=CC1CC(C=*)C2C(=O)N(c3ccccc3C(=O)OCC(=O)c3cccc(OC)c3)C(=O)C12,COc1cccc(C(=O)COC(=O)c2ccccc2N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000008442128,*=Cc1ccccc1C(OCCCn1cnc2c1c(=O)n(C)c(=O)n2C)c1ccccc1C=*,Cn1c(=O)c2c(ncn2CCCOC2c3ccccc3C=Cc3ccccc32)n(C)c1=O
ZINC000008450238,*=CC1CC(C=*)C2C(=O)N(c3ccccc3OS(=O)(=O)c3ccc(Cl)cc3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1c1ccccc1OS(=O)(=O)c1ccc(Cl)cc1
